user_id,screen_name,followers_count,friends_count,statuses_count,profile_created_at,verified,label
3022357312,pattavis,218,285,3477,Fri Feb 06 22:33:59 +0000 2015,False,bot
753659579582541824,PromotingLouisT,256,358,5614,Thu Jul 14 18:37:00 +0000 2016,False,bot
901802279623417856,Anna10mila,287,346,5545,Sun Aug 27 13:43:12 +0000 2017,False,human
2982392825,AlleHanna,266,354,6022,Sat Jan 17 11:03:24 +0000 2015,False,bot
825436422609969152,ZaffiroBlu3,286,564,3915,Sat Jan 28 20:12:33 +0000 2017,False,bot
971039774726377474,Marghe_Paro,26,48,2175,Tue Mar 06 15:08:18 +0000 2018,False,human
1012258265772720128,1D97435172,15,24,496,Thu Jun 28 08:55:52 +0000 2018,False,bot
1001873627506233346,50shadesofsfiga,19,52,1469,Wed May 30 17:11:01 +0000 2018,False,human
3414414435,Peugeotcrew,604,134,8554,Tue Aug 11 06:15:29 +0000 2015,False,bot
617000584,bastardo42,286,527,35242,Sun Jun 24 10:32:14 +0000 2012,False,human
816718293142740992,ShamelessAndGay,229,159,9495,Wed Jan 04 18:49:49 +0000 2017,False,human
978899289861754880,Ele108294,908,685,12680,Wed Mar 28 07:39:12 +0000 2018,False,human
3070640794,Cappellaio87,314,642,16895,Wed Mar 04 19:19:17 +0000 2015,False,bot
1449933242,LBrogialdi,856,2713,53970,Wed May 22 21:28:06 +0000 2013,False,human
850371251277352960,PaolaBarbanera,543,2247,4383,Fri Apr 07 15:34:40 +0000 2017,False,human
757515891403788288,RobyAlpha,349,242,15138,Mon Jul 25 10:00:37 +0000 2016,False,human
2921287407,filippotrav,148,76,4801,Sun Dec 14 12:39:44 +0000 2014,False,bot
1002691095829057538,Chloe_Lou_Rose,6037,5330,5296,Fri Jun 01 23:19:21 +0000 2018,False,bot
839181003449110530,antodamario1982,7,10,4111,Tue Mar 07 18:28:37 +0000 2017,False,bot
2617299705,bbenzoval,642,430,8350,Tue Jun 17 13:32:48 +0000 2014,False,human
4611389296,0nedangels,216,214,2455,Sat Dec 26 13:55:00 +0000 2015,False,human
727469564901076992,sonia_ariu,93,192,6181,Tue May 03 12:07:14 +0000 2016,False,bot
550410719,AnnaMinervini1,365,270,14922,Tue Apr 10 20:15:38 +0000 2012,False,bot
975703783475949568,4NG3L0NF1R3,38,98,346,Mon Mar 19 12:01:24 +0000 2018,False,bot
1048754004,lindascanona,716,0,27901,Sun Dec 30 20:36:06 +0000 2012,False,bot
14871003,gbgallus,2404,1321,10221,Thu May 22 17:38:28 +0000 2008,False,human
4798069173,righettifrance1,418,831,5110,Wed Jan 13 22:08:47 +0000 2016,False,bot
165051584,_diana87,2476,1725,116571,Sat Jul 10 13:12:45 +0000 2010,False,human
3825988815,Luca10adp,313,291,14741,Wed Sep 30 17:30:05 +0000 2015,False,human
991332558,GianturcoMira,179,261,3893,Wed Dec 05 16:53:46 +0000 2012,False,human
231999899,Diletta123,904,169,9628,Thu Dec 30 01:24:54 +0000 2010,False,bot
96738439,oloapmarchi,16914,3750,19248,Mon Dec 14 10:46:37 +0000 2009,False,human
830683244,Beatiste,2934,282,41167,Tue Sep 18 09:24:26 +0000 2012,False,human
1011238575399165959,1dalwaysinmyhe1,16,19,838,Mon Jun 25 13:23:59 +0000 2018,False,human
337161893,essexelle,4239,1306,109609,Sun Jul 17 15:22:40 +0000 2011,False,human
781179765843750912,nalitinelli,56,118,3470,Wed Sep 28 17:12:24 +0000 2016,False,human
1428293736,sb_728,464,367,24105,Tue May 14 16:52:00 +0000 2013,False,human
972313916578713600,LuanaPirri,14,15,1526,Sat Mar 10 03:31:17 +0000 2018,False,bot
825397260032811012,isolafelice21,157,264,1660,Sat Jan 28 17:36:56 +0000 2017,False,bot
2365823596,nonnagri,596,411,12248,Tue Feb 25 22:34:08 +0000 2014,False,human
822123492216897540,TheVoiceIsVS,132,191,5821,Thu Jan 19 16:48:09 +0000 2017,False,bot
2998480923,GInterrato,158,59,4645,Sun Jan 25 20:08:43 +0000 2015,False,bot
2199622261,FabioRoscioli,108,121,7930,Sun Nov 17 14:33:36 +0000 2013,False,human
2982498327,lontano2009,388,863,6624,Sat Jan 17 13:37:14 +0000 2015,False,bot
280175586,nunziapenelope,12989,1991,54873,Sun Apr 10 20:06:18 +0000 2011,False,human
2704478260,ImparatoPasqual,260,142,8321,Sat Jul 12 20:06:02 +0000 2014,False,bot
728911567589363712,DENISA_NH14,493,968,5350,Sat May 07 11:37:15 +0000 2016,False,human
840552254851678211,FEHTakumi,175,1,40035,Sat Mar 11 13:17:29 +0000 2017,False,bot
785397318,ValterRimini,2860,4316,40178,Mon Aug 27 20:20:24 +0000 2012,False,human
797499926594908160,Gvccij,769,719,4298,Sat Nov 12 18:02:54 +0000 2016,False,human
135547288,VinceMaielli,1238,1424,60803,Wed Apr 21 16:15:08 +0000 2010,False,human
2930775934,GiuliettaSkype,1231,4937,21431,Thu Dec 18 21:00:26 +0000 2014,False,bot
1011987366582603776,Funghetti4,15,42,352,Wed Jun 27 14:59:24 +0000 2018,False,bot
630459182,67Malaguti,592,1231,5176,Sun Jul 08 19:28:21 +0000 2012,False,human
830818718703837187,Joker12953,157,254,3601,Sun Feb 12 16:39:53 +0000 2017,False,bot
2772451794,LorettaLORI3,693,1175,11021,Wed Aug 27 06:19:28 +0000 2014,False,bot
